x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.24,2020-11-24 00:00:00,BC,2020,11,24,-1.5,,-6.2,,3.2,,0,,,,,,25,,,,,,0,,19.5,,64,,98,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.25,2020-11-25 00:00:00,BC,2020,11,25,-6.4,,-10,,-2.9,,0,,,,,,24,,,,,,0,,24.4,,92,,97,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.26,2020-11-26 00:00:00,BC,2020,11,26,-2.4,,-9.1,,4.3,,0,,,,,,23,,,,,,0,,20.4,,77,,98,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.27,2020-11-27 00:00:00,BC,2020,11,27,-3.6,,-6,,-1.1,,6.1,,,,,,22,,,M,,M,0,,21.6,,94,,98,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.28,2020-11-28 00:00:00,BC,2020,11,28,-10.2,,-15.7,,-4.6,,0,,,,,,27,,,M,,M,0,,28.2,,90,,94,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.29,2020-11-29 00:00:00,BC,2020,11,29,-5.8,,-10.6,,-1,,0.5,,,,,,26,,,M,,M,0,,23.8,,77,,95,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.11.30,2020-11-30 00:00:00,BC,2020,11,30,-5.1,,-12.5,,2.2,,0,,,,,,26,,,,,,0,,23.1,,55,,96,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.1,2020-12-01 00:00:00,BC,2020,12,1,-5.5,,-13.6,,2.7,,0,,,,,,25,,,,,,0,,23.5,,57,,92,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.2,2020-12-02 00:00:00,BC,2020,12,2,-7.8,,-14.4,,-1.2,,0,,,,,,25,,,,,,0,,25.8,,63,,96,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.3,2020-12-03 00:00:00,BC,2020,12,3,-7.3,,-14.1,,-0.5,,0,,,,,,24,,,,,,0,,25.3,,78,,93,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.4,2020-12-04 00:00:00,BC,2020,12,4,-3.4,,-10.7,,4,,0.5,,,,,,24,,,,,,0,,21.4,,75,,98,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.5,2020-12-05 00:00:00,BC,2020,12,5,1.2,,-1.4,,3.8,,0,,,,,,23,,,,,,0,,16.8,,75,,96,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.6,2020-12-06 00:00:00,BC,2020,12,6,1.3,,-3.7,,6.3,,0,,,,,,23,,,,,,0,,16.7,,74,,96,
-125.95866666666667,54.38316666666667,BURNS LAKE DECKER LAKE,1091174,1091174.2020.12.7,2020-12-07 00:00:00,BC,2020,12,7,2.8,,-0.1,,5.6,,10.7,,,,,,21,,21,,42,,0,,15.2,,62,,96,
