x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.4,2012-12-04 00:00:00,BC,2012,12,4,-1,,-5,,3,,5,,0,,5,,34,,,,,,0,,19,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.5,2012-12-05 00:00:00,BC,2012,12,5,-5.8,,-9.5,,-2,,4,,0,,4,,34,,,,,,0,,23.8,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.6,2012-12-06 00:00:00,BC,2012,12,6,-7.3,,-10,,-4.5,,2,,0,,2,,36,,,,,,0,,25.3,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.7,2012-12-07 00:00:00,BC,2012,12,7,-8.5,,-12,,-5,,6,,0,,6,,0,,,,,,0,,26.5,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.8,2012-12-08 00:00:00,BC,2012,12,8,-11.5,,-14.5,,-8.5,,1,,0,,1,,0,,,,,,0,,29.5,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.9,2012-12-09 00:00:00,BC,2012,12,9,-8,,-15,,-1,,6,,0,,6,,0,,,,,,0,,26,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.10,2012-12-10 00:00:00,BC,2012,12,10,-3,,-6,,0,,27,,0,,27,,0,,,,,,0,,21,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.11,2012-12-11 00:00:00,BC,2012,12,11,-2.5,,-3.5,,-1.5,,4.5,,0,,4.5,,62,,,,,,0,,20.5,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.12,2012-12-12 00:00:00,BC,2012,12,12,-5.3,,-8,,-2.5,,4,,0,,4,,60,,,,,,0,,23.3,,,,,
-121.51472222222222,53.06916666666667,BARKERVILLE,1090660,1090660.2012.12.13,2012-12-13 00:00:00,BC,2012,12,13,-8.3,,-13,,-3.5,,7,,0,,7,,60,,,,,,0,,26.3,,,,,
